CMDLINE F:\github.com_extension\indexation_document\indexation_venv\Scripts\python.exe .\similarite_entre_2_images.py
MEM 1.593750 1719205159.4565
MEM 7.203125 1719205159.5572
MEM 7.203125 1719205159.6582
MEM 7.203125 1719205159.7588
MEM 7.203125 1719205159.8593
MEM 7.203125 1719205159.9603
MEM 7.203125 1719205160.0615
MEM 7.203125 1719205160.1620
MEM 7.203125 1719205160.2630
MEM 7.203125 1719205160.3635
MEM 7.203125 1719205160.4645
MEM 7.203125 1719205160.5681
MEM 7.203125 1719205160.6715
MEM 7.203125 1719205160.7726
MEM 7.203125 1719205160.8732
MEM 7.203125 1719205160.9741
MEM 7.203125 1719205161.0751
MEM 7.203125 1719205161.1766
MEM 7.203125 1719205161.2770
MEM 7.203125 1719205161.3780
MEM 7.203125 1719205161.4790
MEM 7.203125 1719205161.5795
MEM 7.203125 1719205161.6797
MEM 7.203125 1719205161.7807
MEM 7.203125 1719205161.8817
MEM 7.203125 1719205161.9827
MEM 7.203125 1719205162.0837
MEM 7.203125 1719205162.1847
MEM 7.203125 1719205162.2850
MEM 7.203125 1719205162.3860
MEM 7.203125 1719205162.4875
MEM 7.203125 1719205162.5885
MEM 7.203125 1719205162.6895
MEM 7.203125 1719205162.7905
MEM 7.203125 1719205162.8915
MEM 7.203125 1719205162.9925
MEM 7.203125 1719205163.0935
MEM 7.203125 1719205163.1945
MEM 7.203125 1719205163.2955
MEM 7.203125 1719205163.3965
MEM 7.203125 1719205163.4975
MEM 7.203125 1719205163.5977
MEM 7.203125 1719205163.6982
MEM 7.203125 1719205163.7993
MEM 7.203125 1719205163.8995
MEM 7.203125 1719205164.0005
MEM 7.203125 1719205164.1015
MEM 7.203125 1719205164.2025
MEM 7.203125 1719205164.3036
MEM 7.203125 1719205164.4046
MEM 7.203125 1719205164.5056
MEM 7.203125 1719205164.6062
MEM 7.203125 1719205164.7074
MEM 7.203125 1719205164.8084
MEM 7.203125 1719205164.9094
MEM 7.203125 1719205165.0104
MEM 7.203125 1719205165.1114
MEM 7.203125 1719205165.2116
MEM 7.203125 1719205165.3118
MEM 7.203125 1719205165.4129
MEM 7.203125 1719205165.5139
MEM 7.203125 1719205165.6149
MEM 7.203125 1719205165.7153
MEM 7.203125 1719205165.8163
MEM 7.203125 1719205165.9173
MEM 7.203125 1719205166.0183
MEM 7.203125 1719205166.1193
MEM 7.203125 1719205166.2203
MEM 7.203125 1719205166.3213
MEM 7.203125 1719205166.4223
MEM 7.203125 1719205166.5233
MEM 7.203125 1719205166.6243
MEM 7.203125 1719205166.7277
MEM 7.203125 1719205166.8285
MEM 7.203125 1719205166.9295
MEM 7.203125 1719205167.0310
MEM 7.203125 1719205167.1324
MEM 7.203125 1719205167.2335
MEM 7.203125 1719205167.3343
MEM 7.203125 1719205167.4356
MEM 7.203125 1719205167.5368
MEM 7.203125 1719205167.6378
MEM 7.203125 1719205167.7388
MEM 7.203125 1719205167.8398
MEM 7.203125 1719205167.9408
MEM 7.203125 1719205168.0418
MEM 7.203125 1719205168.1428
MEM 7.203125 1719205168.2438
MEM 7.203125 1719205168.3448
MEM 7.203125 1719205168.4458
MEM 7.203125 1719205168.5468
MEM 7.203125 1719205168.6478
MEM 7.203125 1719205168.7488
MEM 7.203125 1719205168.8498
MEM 7.203125 1719205168.9508
MEM 7.203125 1719205169.0518
MEM 7.203125 1719205169.1528
MEM 7.203125 1719205169.2538
MEM 7.203125 1719205169.3548
MEM 7.203125 1719205169.4558
MEM 7.203125 1719205169.5568
MEM 7.203125 1719205169.6578
MEM 7.203125 1719205169.7588
MEM 7.203125 1719205169.8598
MEM 7.203125 1719205169.9608
MEM 7.203125 1719205170.0618
MEM 7.203125 1719205170.1628
MEM 7.203125 1719205170.2636
MEM 7.203125 1719205170.3646
MEM 7.203125 1719205170.4656
MEM 7.203125 1719205170.5666
MEM 7.203125 1719205170.6676
MEM 7.203125 1719205170.7686
MEM 7.203125 1719205170.8696
MEM 7.203125 1719205170.9706
MEM 7.203125 1719205171.0716
MEM 7.203125 1719205171.1726
MEM 7.203125 1719205171.2736
MEM 7.203125 1719205171.3746
MEM 7.203125 1719205171.4753
MEM 7.203125 1719205171.5763
MEM 7.203125 1719205171.8933
MEM 7.203125 1719205171.9938
MEM 7.203125 1719205172.0948
MEM 7.203125 1719205172.1958
MEM 7.203125 1719205172.2968
MEM 7.203125 1719205172.3978
MEM 7.203125 1719205172.4988
MEM 7.203125 1719205172.5998
MEM 7.203125 1719205172.7008
MEM 7.203125 1719205172.8018
MEM 7.203125 1719205172.9028
MEM 7.203125 1719205173.0038
MEM 7.203125 1719205173.1068
MEM 7.203125 1719205173.2188
MEM 7.203125 1719205173.3198
MEM 7.203125 1719205173.4208
MEM 7.203125 1719205173.5218
MEM 7.203125 1719205173.6228
MEM 7.203125 1719205173.7258
MEM 7.203125 1719205173.8268
MEM 7.203125 1719205173.9308
MEM 7.203125 1719205174.0318
MEM 7.203125 1719205174.1328
MEM 7.203125 1719205174.2339
MEM 7.203125 1719205174.3405
MEM 7.203125 1719205174.4415
MEM 7.203125 1719205174.5425
MEM 7.203125 1719205174.6445
MEM 7.203125 1719205174.7455
MEM 7.203125 1719205174.8465
MEM 7.203125 1719205174.9595
MEM 7.203125 1719205175.0605
MEM 7.203125 1719205175.1615
MEM 7.203125 1719205175.2625
MEM 7.203125 1719205175.3635
MEM 7.203125 1719205175.4645
MEM 7.203125 1719205175.5665
MEM 7.203125 1719205175.6675
MEM 7.203125 1719205175.7685
MEM 7.203125 1719205175.8695
MEM 7.203125 1719205175.9705
MEM 7.203125 1719205176.0715
MEM 7.203125 1719205176.1732
MEM 7.203125 1719205176.2742
MEM 7.203125 1719205176.3752
MEM 7.203125 1719205176.4762
MEM 7.203125 1719205176.6142
MEM 7.203125 1719205176.8562
MEM 7.203125 1719205176.9732
MEM 7.203125 1719205177.0742
MEM 7.203125 1719205177.1752
MEM 7.203125 1719205177.2762
MEM 7.203125 1719205177.5972
MEM 7.203125 1719205177.8062
MEM 7.203125 1719205177.9582
MEM 7.203125 1719205178.0842
MEM 7.203125 1719205178.1852
MEM 7.203125 1719205178.2862
MEM 7.203125 1719205178.3882
MEM 7.203125 1719205178.5612
MEM 7.203125 1719205178.6622
MEM 7.203125 1719205178.7662
MEM 7.203125 1719205178.8672
MEM 7.203125 1719205178.9682
MEM 7.203125 1719205179.0692
MEM 7.203125 1719205179.1702
MEM 7.203125 1719205179.2712
MEM 7.203125 1719205179.3722
MEM 7.203125 1719205179.4732
MEM 7.203125 1719205179.5742
MEM 7.203125 1719205179.6752
MEM 7.203125 1719205179.7762
MEM 7.203125 1719205179.8772
MEM 7.203125 1719205179.9782
MEM 7.203125 1719205180.0792
MEM 7.203125 1719205180.1802
MEM 7.203125 1719205180.2812
MEM 7.203125 1719205180.3822
MEM 7.203125 1719205180.4832
MEM 7.203125 1719205180.5837
MEM 7.203125 1719205180.6847
MEM 7.203125 1719205180.7857
MEM 7.203125 1719205180.8867
MEM 7.203125 1719205180.9877
MEM 7.203125 1719205181.0896
MEM 7.203125 1719205181.1907
MEM 7.203125 1719205181.2912
MEM 7.203125 1719205181.3922
MEM 7.203125 1719205181.4932
MEM 7.203125 1719205181.5943
MEM 7.203125 1719205181.6953
MEM 7.203125 1719205181.7963
MEM 7.203125 1719205181.8968
MEM 7.203125 1719205181.9978
MEM 7.203125 1719205182.0987
MEM 7.203125 1719205182.1997
MEM 7.203125 1719205182.3007
MEM 7.203125 1719205182.4018
MEM 7.203125 1719205182.5027
MEM 7.203125 1719205182.6037
MEM 7.203125 1719205182.7047
MEM 7.203125 1719205182.8057
